#,Project,Tracker,Status,Priority,Subject,Assignee,Start date,Due date,Estimated time,Spent time
"9194,gAMSPro_BVB_v3,Feature,Finished,Normal,Commet source code ?i?u ch?nh theo SRD,Lê Xuân C??ng,09/24/2021,"""","""",4.25"
"9193,gAMSPro_BVB_v3,Feature,Finished,Normal,GAP - QLDM - I.9.3.2.  Danh m?c hàng hóa ? Thêm m?i,Lê Xuân C??ng,09/24/2021,"""","""",4.00"
"9149,gAMSPro_BVB_v3,Feature,Finished,Normal,GAP - I.11.3.1.  Danh m?c nhà cung c?p ? Danh sách,Lê Xuân C??ng,09/23/2021,"""","""",2.00"
"9147,gAMSPro_BVB_v3,Feature,Finished,Normal,GAP - I.9.3.1.  Danh m?c hàng hóa mua s?m ? Danh sách,Lê Xuân C??ng,09/23/2021,"""","""",5.75"
"9137,gAMSPro_BVB_v3,Feature,Finished,Normal,GAP- II.4.3.1. Danh m?c ??n v? ? Danh sách  ,Lê Xuân C??ng,09/23/2021,"""","""",0.50"
"9099,gAMSPro_BVB_v3,Feature,Finished,Normal,GAP - I.12.3.1.  Danh m?c nhân viên ? Danh sách   - Tìm ki?m theo khu v?c,Lê Xuân C??ng,09/22/2021,"""","""",1.75"
"9098,gAMSPro_BVB_v3,Feature,Finished,Normal,GAP-II.3.3.1. Thông tin ng??i dùng - Danh sách - Ch?n mã nhân viên,Lê Xuân C??ng,09/22/2021,"""","""",2.00"
"9097,gAMSPro_BVB_v3,Feature,Finished,Normal,GAP- II.3.3.2.1.Thông tin ng??i dùng - Nh?p tên ch?c danh c?a nhân viên,Lê Xuân C??ng,09/22/2021,"""","""",0.00"
"9096,gAMSPro_BVB_v3,Feature,Finished,Normal,GAP-II.3.3.1. Thông tin ng??i dùng - Danh sách - Tìm ki?m theo tên phòng ban,Lê Xuân C??ng,09/22/2021,"""","""",2.00"
"9095,gAMSPro_BVB_v3,Feature,Finished,Normal,GAP-II.2.3.2.1.Tên nhóm quy?n - Ng??i dùng nh?p thông tin mô t? c?a quy?n m?i,Lê Xuân C??ng,09/22/2021,"""","""",2.00"
"9076,gAMSPro_BVB_v3,Feature,Finished,Normal,GAP-QTHT-II.2.3.1. Thông tin ng??i dùng - Danh sách - Hi?n th? thông tin mô t? c?a nhóm quy?n,Lê Xuân C??ng,09/21/2021,"""","""",8.25"
